Image Name,Diversified Description,categories,label
bottle_broken_large_000.png,"1. In the image from the glass packaging industry, the bottle exhibits a sizable fracture compromising its integrity.","bottle,broken large",266
bottle_broken_large_001.png,"The fracture in The bottle is significant, posing a structural flaw and risk of breakage during handling or transportation.","bottle,broken large",266
bottle_broken_large_002.png,2. The glass packaging industry snapshot captures a bottle with a prominent breakage flaw.,"bottle,broken large",266
bottle_broken_large_003.png,"The bottle?s breakage flaw is noticeable and could lead to leakage or breakage, rendering The container unusable.","bottle,broken large",266
bottle_broken_large_004.png,3. This photograph from the glass packaging sector depicts a bottle featuring a substantial defect.,"bottle,broken large",266
bottle_broken_large_005.png,"1. In this image from the glass packaging sector, a bottle is displayed with a noticeable, sizable flaw that appears to be cracked and broken.","bottle,broken large",266
bottle_broken_large_006.png,"2. Within the glass packaging industry illustration, there is a bottle with a prominently shattered and sizeable defect that seems to have been caused by impact or stress.","bottle,broken large",266
bottle_broken_large_007.png,"3. Depicted in this glass packaging sector snapshot is a bottle featuring a substantial defect of considerable size, exhibiting clear signs of breakage and damage.","bottle,broken large",266
bottle_broken_large_008.png,"4. The glass packaging industry photo showcases a bottle housing a significant defect that is large, broken, and clearly visible, indicating a potential flaw in the manufacturing process.","bottle,broken large",266
bottle_broken_large_009.png,"5. Within the glass packaging sector visual, a bottle is presented with a visibly shattered and sizable defect, suggesting a possible weakness in the structural integrity of the packaging material.","bottle,broken large",266
bottle_broken_large_010.png,"1. The image illustrates a glass bottle in the packaging industry, featuring a prominent crack and a sizable defect.","bottle,broken large",266
bottle_broken_large_011.png,"2. Within this portrayal of the glass packaging sector, there is a bottle that exhibits a substantial breakage and a noticeable imperfection.","bottle,broken large",266
bottle_broken_large_012.png,3. Depicted in this glass packaging industry snapshot is a bottle with a significant fracture and a notable flaw.,"bottle,broken large",266
bottle_broken_large_013.png,"4. In the context of the glass packaging field, the photo captures a bottle with a sizeable defect and a clear break.","bottle,broken large",266
bottle_broken_large_014.png,5. This visual representation of the glass packaging industry showcases a bottle with a distinct crack and a visible large imperfection.,"bottle,broken large",266
bottle_broken_large_015.png,1. The image from the glass packaging sector displays a bottle harboring a sizable shattered flaw.,"bottle,broken large",266
bottle_broken_large_016.png,"The defect in The glass bottle is substantial and appears shattered or broken, potentially compromising The integrity of The packaging.","bottle,broken large",266
bottle_broken_large_017.png,2. Within this depiction of the glass packaging realm lies a bottle revealing a significant fracture.,"bottle,broken large",266
bottle_broken_large_018.png,"The bottle in The image exhibits a notable crack or break, posing a risk for leakage or damage to The contents due to The fracture.","bottle,broken large",266
bottle_broken_large_019.png,"3. In this visual representation of the glass packaging field, we observe a bottle featuring a prominent flaw.","bottle,broken large",266
bottle_broken_small_000.png,1. The image from the glass packaging sector displays a bottle harboring a minute fractured flaw.,"bottle,broken small",267
bottle_broken_small_001.png,"The defect appears to be a tiny crack or chip on The surface of The bottle, which could compromise The integrity of The packaging.","bottle,broken small",267
bottle_broken_small_002.png,"2. In the illustration depicting the glass packaging field, there is a bottle with a small breakage flaw.","bottle,broken small",267
