Image Name,label,Categories,Description
cell0001.png,31,"solar cell, monocrystalline, crack","The image provided depicts a monocrystalline solar cell in the solar panel sector, highlighting the presence of a fracture flaw within the cell structure."
cell0002.png,31,"solar cell, monocrystalline, crack","The image provided depicts a monocrystalline solar cell within the solar cell sector, showcasing the presence of a crack defect."
cell0003.png,31,"solar cell, monocrystalline, crack",The image from the solar cell industry displays a monocrystalline solar cell with a visible crack defect.
cell0010.png,31,"solar cell, monocrystalline, crack",The image from the solar cell industry depicts a monocrystalline solar cell exhibiting a crack defect.
cell0012.png,31,"solar cell, monocrystalline, crack","The image provided illustrates a monocrystalline solar cell in the solar panel industry, exhibiting a structural defect in the form of a crack."
cell0013.png,31,"solar cell, monocrystalline, crack","The image depicts a monocrystalline solar cell in the solar cell sector, showcasing a crack defect within its structure."
cell0015.png,31,"solar cell, monocrystalline, crack",The image provided depicts a monocrystalline solar cell exhibiting a crack defect within the structure.
cell0016.png,31,"solar cell, monocrystalline, crack",The provided image displays a monocrystalline solar cell exhibiting a crack defect within the structure.
cell0020.png,31,"solar cell, monocrystalline, crack",The image presented in the solar cell industry depicts a monocrystalline solar cell exhibiting a crack defect.
cell0021.png,31,"solar cell, monocrystalline, crack",The image from the solar cell sector displays a monocrystalline solar cell with a visible crack imperfection.
cell0025.png,31,"solar cell, monocrystalline, crack",The image presented in the solar cell industry depicts a monocrystalline solar cell exhibiting a crack imperfection.
cell0026.png,31,"solar cell, monocrystalline, crack",The image provided depicts a monocrystalline solar cell with a visible crack defect within the structure.
cell0027.png,31,"solar cell, monocrystalline, crack",The provided image depicts a monocrystalline solar cell exhibiting a crack defect within the structure.
cell0028.png,31,"solar cell, monocrystalline, crack",The image in the solar cell industry depicts a monocrystalline solar cell that exhibits a crack defect.
cell0034.png,31,"solar cell, monocrystalline, crack",The provided image displays a monocrystalline solar cell in the solar cell industry with a visible crack defect.
cell0035.png,31,"solar cell, monocrystalline, crack",The image from the solar cell industry depicts a monocrystalline solar cell with a visible crack defect.
cell0036.png,31,"solar cell, monocrystalline, crack","In this image from the solar cell sector, a monocrystalline solar cell is depicted with a visible crack defect."
cell0037.png,31,"solar cell, monocrystalline, crack",The image presented in the solar cell sector displays a monocrystalline solar cell exhibiting a crack imperfection.
cell0045.png,31,"solar cell, monocrystalline, crack",The image presented here in the solar cell sector displays a monocrystalline solar cell exhibiting a crack imperfection.
cell0047.png,31,"solar cell, monocrystalline, crack","The provided image depicts a monocrystalline solar cell in the solar cell sector, exhibiting a visible crack defect."
cell0049.png,31,"solar cell, monocrystalline, crack",The image displayed in the solar cell industry depicts a monocrystalline solar cell exhibiting a crack defect.
cell0051.png,31,"solar cell, monocrystalline, crack","The image presents a monocrystalline solar cell in the solar cell sector, exhibiting a crack defect."
cell0052.png,31,"solar cell, monocrystalline, crack",This image from the solar cell sector displays a monocrystalline solar cell exhibiting a crack imperfection.
cell0054.png,31,"solar cell, monocrystalline, crack","The provided image depicts a monocrystalline solar cell in the solar cell sector, showcasing a crack defect within its structure."
