Image Name,categories,label,Description
img_0017151.jpg,"cap, cap deformation",378,"This baijiu industry (distilled spirits) picture showcases a cap exhibiting the defect of ""misaligned closure,"" resulting in a noticeable gap between the cap and the bottle neck."
img_0001675.jpg,"cap, cap breakpoint",379,"This baijiu industry (distilled spirits) picture displays a cap featuring a ""cracked cap"" defect.\n\nIn this image, the baijiu cap exhibits a visible breakage at the top, which may compromise the seal and integrity of the bottle."
img_0020680.jpg,"cap, cap deformation",378,"This baijiu industry (distilled spirits) picture exhibits a bottle cap with noticeable ""irregular creases and dents,"" suggesting cap deformation."
img_0015046.jpg,"cap, cap deformation, normal coding",380,"This baijiu industry (distilled spirits) picture depicts a cap exhibiting ""slight dent on the edge"" and ""clear serial number imprint""."
img_0004341.jpg,"cap, cap deformation",378,"This baijiu industry (distilled spirits) picture captures a cap with noticeable ""misshapen cap"" imperfections. The cap exhibits irregularities in shape and structure, deviating from the standard form, indicating a defect in the manufacturing process."
img_0021892.jpg,"cap, cap deformation, cap bad edge",381,"This baijiu industry (distilled spirits) picture displays a cap with noticeable ""cap deformation"", as well as ""cap bad edge"" defects. The cap appears distorted and the edges show clear signs of imperfections, potentially impacting the overall quality of the product."
img_0028580.jpg,"cap, cap deformation",378,"This baijiu industry (distilled spirits) picture displays a cap with noticeable signs of ""misaligned tamper-evident band"" defect. The cap's irregular positioning compromises its seal integrity and quality assurance standards."
img_0017599.jpg,"cap, cap deformation",378,"This baijiu industry (distilled spirits) picture displays a cap bearing the defect of ""misaligned tamper-evident band."""
img_0015067.jpg,"cap, cap deformation",378,"This baijiu industry (distilled spirits) picture showcases a cap exhibiting a noticeable ""misshapen cap"" defect, affecting its overall appearance and functionality. The deformity appears to distort the smooth curvature of the cap, potentially compromising the seal of the bottle."
img_0025527.jpg,"cap, cap deformation",378,"This baijiu industry (distilled spirits) picture shows a cap containing ""irregularities in cap shape"" defects. The cap exhibits noticeable deformations, compromising its smooth and uniform appearance."
img_0019641.jpg,"cap, cap deformation",378,"This baijiu industry (distilled spirits) picture displays a cap that exhibits a noticeable ""misaligned closure"" issue.\n\nIn this image of a baijiu cap, a clear defect of ""improperly sealed seam"" is evident, compromising the packaging integrity."
img_0003740.jpg,"cap, cap deformation",378,"This baijiu industry (distilled spirits) picture showcases a cap with clear signs of ""cap deformation,"" indicating a manufacturing flaw that affects the closure's functionality and aesthetics."
img_0020471.jpg,"cap, cap deformation",378,"This baijiu industry (distilled spirits) picture displays a cap exhibiting ""irregular cap shape"", ""visible scratches"" defects."
img_0016718.jpg,"cap, cap deformation",378,"This baijiu industry (distilled spirits) picture showcases a bottle cap with noticeable signs of ""cap deformation,"" such as irregular shape and uneven sealing, which may impact the product's freshness and integrity."
